,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
admiration,0,29,2,9,62,18,5,19,4,11,9,8,2,33,2,46,1,48,70,0,25,4,10,3,4,6,18,42
amusement,18,0,4,11,9,2,7,9,5,0,5,2,3,9,0,7,0,17,6,0,6,0,2,1,6,2,7,32
anger,6,6,0,55,13,13,15,22,3,13,25,27,7,2,3,3,1,2,8,1,2,1,0,0,7,11,7,39
annoyance,18,23,44,0,33,6,41,33,3,33,55,37,13,3,14,12,0,5,8,2,7,1,11,2,5,11,13,100
approval,80,37,11,27,0,34,27,30,17,26,49,16,3,32,6,33,0,49,30,1,23,6,25,11,8,12,6,163
caring,12,9,4,10,27,0,5,10,2,2,11,1,3,2,4,9,0,16,11,1,27,2,2,5,15,10,1,33
confusion,6,6,7,13,24,2,0,40,1,6,16,2,0,3,2,2,0,2,2,0,3,0,19,0,6,3,8,40
curiosity,15,11,10,15,12,1,32,0,4,2,7,8,2,11,4,4,0,2,8,0,8,0,3,0,1,0,17,30
desire,5,5,2,7,14,11,2,4,0,3,3,0,1,6,0,5,0,5,2,0,21,0,2,0,2,4,4,25
disappointment,6,8,22,35,22,4,16,9,7,0,36,29,6,6,11,4,0,5,5,4,6,0,11,1,13,21,9,69
disapproval,14,13,38,58,33,11,35,19,1,30,0,29,4,4,3,10,0,3,9,1,5,0,8,1,7,11,14,68
disgust,5,5,41,57,3,3,6,5,3,19,22,0,4,1,10,1,0,1,2,1,2,0,1,0,6,5,6,23
embarrassment,1,3,8,10,7,1,8,6,2,15,5,15,0,0,6,3,0,0,0,0,2,0,3,0,11,3,4,15
excitement,46,16,4,6,16,2,4,18,3,0,1,2,0,0,2,13,0,26,22,1,4,3,3,2,3,0,16,24
fear,3,3,3,4,6,2,3,3,0,7,9,19,6,0,0,3,0,2,2,3,1,0,0,1,2,11,2,6
gratitude,32,3,0,1,17,11,1,5,0,3,1,0,0,13,0,0,1,24,14,0,12,2,0,7,6,3,1,12
grief,0,1,1,2,1,5,3,2,1,5,1,0,0,0,3,0,0,1,1,0,1,0,0,3,3,8,1,7
joy,40,54,3,8,32,4,4,13,2,3,4,2,0,21,4,23,0,0,37,0,9,4,8,1,1,3,8,27
love,31,10,1,1,17,7,5,11,2,2,0,1,0,9,0,11,0,20,0,1,6,0,1,0,2,2,2,10
nervousness,4,4,5,8,3,3,8,4,2,10,2,9,3,1,21,3,0,1,1,0,1,0,3,1,2,9,0,10
optimism,26,12,5,13,54,23,15,14,19,12,20,1,0,13,4,20,0,12,14,1,0,0,9,3,1,10,4,43
pride,13,3,0,0,12,0,0,2,1,2,0,0,0,3,0,3,0,5,2,0,6,0,2,0,0,0,1,13
realization,19,23,6,36,60,13,46,26,3,28,34,10,8,4,7,16,0,8,10,0,8,2,0,2,8,13,16,95
relief,5,4,0,0,19,7,1,1,0,4,1,2,1,1,2,11,0,14,2,1,0,2,2,0,0,1,2,8
remorse,0,0,4,5,3,2,3,1,0,11,1,3,2,0,1,1,0,1,0,0,1,0,5,1,0,5,1,5
sadness,3,11,13,22,13,6,9,8,4,36,9,7,5,1,7,6,0,4,3,2,11,0,12,2,46,0,3,30
surprise,16,11,7,10,11,2,28,34,1,4,7,7,0,17,2,5,0,4,6,0,1,0,15,2,0,3,0,46
neutral,67,59,53,106,114,51,82,80,18,58,91,40,11,26,22,12,2,21,32,2,36,1,36,7,5,28,31,0
