,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
admiration,976,15,0,0,46,0,5,39,4,1,0,2,0,23,2,56,0,24,34,0,18,20,3,2,2,1,7,2
amusement,15,651,0,0,19,0,12,22,2,0,3,0,2,1,0,30,0,41,13,0,4,0,5,0,3,1,0,4
anger,0,0,484,305,1,0,0,4,0,1,5,15,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,6
annoyance,0,0,305,766,14,4,6,4,1,48,82,42,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,51
approval,46,19,1,14,1169,42,17,17,4,8,12,2,0,10,3,11,0,17,11,1,40,3,100,14,1,0,1,374
caring,0,0,0,4,42,355,0,0,0,0,2,0,0,0,1,6,0,2,8,0,26,0,0,4,9,1,0,40
confusion,5,12,0,6,17,0,823,492,0,2,35,1,4,1,2,5,0,0,1,0,3,0,8,0,11,3,8,219
curiosity,39,22,4,4,17,0,492,916,4,0,0,2,4,21,3,11,0,9,13,0,4,0,0,0,17,6,37,209
desire,4,2,0,1,4,0,0,4,179,3,0,0,0,5,0,2,0,4,13,0,7,0,0,0,1,4,0,22
disappointment,1,0,1,48,8,0,2,0,3,454,37,18,10,0,0,0,1,0,2,0,2,0,22,0,6,109,0,13
disapproval,0,3,5,82,12,2,35,0,0,37,755,12,0,0,0,1,0,0,3,0,0,0,0,0,1,0,1,182
disgust,2,0,15,42,2,0,1,2,0,18,12,326,23,0,18,0,0,0,0,0,1,0,0,0,0,0,0,1
embarrassment,0,2,0,2,0,0,4,4,0,10,0,23,82,0,1,0,0,0,0,0,0,0,3,0,9,2,0,0
excitement,23,1,0,0,10,0,1,21,5,0,0,0,0,339,0,12,0,85,5,0,3,0,0,0,0,0,37,25
fear,2,0,0,0,3,1,2,3,0,0,0,18,1,0,202,3,1,0,0,26,2,0,0,0,0,2,0,1
gratitude,56,30,3,0,11,6,5,11,2,0,1,0,0,12,3,658,0,42,18,1,29,10,0,17,7,1,3,0
grief,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,16,0,1,0,0,0,0,0,3,16,1,0
joy,24,41,0,0,17,2,0,9,4,0,0,0,0,85,0,42,0,451,16,0,6,18,0,56,1,1,1,0
love,34,13,2,1,11,8,1,13,13,2,3,0,0,5,0,18,1,16,560,0,5,0,1,0,1,3,0,0
nervousness,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,1,0,0,0,40,0,0,0,0,0,0,0,0
optimism,18,4,1,1,40,26,3,4,7,2,0,1,0,3,2,29,0,6,5,0,356,4,0,1,13,2,3,0
pride,20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,18,0,0,4,46,0,9,1,0,0,0
realization,3,5,0,0,100,0,8,0,0,22,0,0,3,0,0,0,0,0,1,0,0,0,305,1,4,0,3,94
relief,2,0,0,0,14,4,0,0,0,0,0,0,0,0,0,17,0,56,0,0,1,9,1,74,1,0,0,0
remorse,2,3,0,1,1,9,11,17,1,6,1,0,9,0,0,7,3,1,1,0,13,1,4,1,194,32,0,0
sadness,1,1,0,0,0,1,3,6,4,109,0,0,2,0,2,1,16,1,3,0,2,0,0,0,32,328,1,5
surprise,7,0,0,0,1,0,8,37,0,0,1,0,0,37,0,3,1,1,0,0,3,0,3,0,0,1,305,6
neutral,2,4,6,51,374,40,219,209,22,13,182,1,0,25,1,0,0,0,0,0,0,0,94,0,0,5,6,2440
