emotion_a,emotion_b,true_cooccurrence_count
admiration,approval,70
admiration,gratitude,68
anger,annoyance,68
excitement,joy,54
admiration,love,50
approval,optimism,49
disappointment,sadness,48
confusion,curiosity,47
approval,realization,46
annoyance,disapproval,46
admiration,joy,44
admiration,optimism,38
admiration,excitement,36
annoyance,disgust,35
annoyance,disappointment,35
fear,nervousness,32
disapproval,disgust,31
admiration,amusement,31
gratitude,love,31
amusement,approval,31
approval,gratitude,30
curiosity,surprise,29
approval,caring,29
admiration,curiosity,29
gratitude,joy,29
curiosity,realization,26
approval,joy,25
anger,disgust,24
caring,optimism,24
amusement,gratitude,24
anger,disappointment,23
approval,curiosity,22
amusement,realization,22
gratitude,optimism,20
annoyance,curiosity,20
annoyance,approval,19
amusement,joy,19
joy,love,19
admiration,caring,19
confusion,realization,18
excitement,surprise,18
realization,sadness,18
excitement,love,18
admiration,realization,18
joy,optimism,18
anger,disapproval,17
admiration,pride,17
approval,love,17
realization,surprise,16
caring,love,16
approval,excitement,16
optimism,realization,16
anger,sadness,16
disappointment,realization,15
caring,sadness,15
disappointment,disapproval,15
embarrassment,sadness,15
amusement,optimism,14
disapproval,realization,14
curiosity,optimism,13
caring,gratitude,13
gratitude,realization,13
approval,disappointment,13
excitement,gratitude,13
amusement,love,13
desire,optimism,13
admiration,confusion,13
admiration,annoyance,12
curiosity,disappointment,12
amusement,excitement,12
approval,confusion,12
annoyance,sadness,12
remorse,sadness,12
approval,sadness,11
annoyance,optimism,11
disappointment,disgust,11
fear,sadness,11
admiration,sadness,11
admiration,surprise,11
caring,joy,10
admiration,disappointment,10
amusement,annoyance,10
gratitude,surprise,10
amusement,curiosity,10
optimism,pride,10
embarrassment,remorse,10
admiration,desire,9
love,optimism,9
annoyance,embarrassment,9
curiosity,joy,9
caring,realization,9
optimism,sadness,9
disappointment,embarrassment,9
disapproval,gratitude,9
confusion,disapproval,9
excitement,optimism,9
disgust,sadness,9
joy,pride,8
confusion,gratitude,8
approval,surprise,8
disapproval,sadness,8
disapproval,optimism,8
confusion,surprise,8
confusion,disappointment,8
embarrassment,realization,8
curiosity,excitement,8
anger,curiosity,8
amusement,confusion,8
annoyance,realization,8
annoyance,confusion,8
annoyance,surprise,8
annoyance,gratitude,8
admiration,disapproval,8
approval,disapproval,7
amusement,sadness,7
anger,embarrassment,7
caring,remorse,7
desire,realization,7
disgust,embarrassment,7
optimism,surprise,7
love,surprise,7
desire,gratitude,7
curiosity,sadness,7
disappointment,remorse,7
anger,surprise,7
gratitude,pride,7
nervousness,sadness,7
grief,sadness,7
curiosity,gratitude,7
joy,surprise,7
desire,love,6
curiosity,embarrassment,6
anger,love,6
curiosity,love,6
disgust,nervousness,6
anger,fear,6
disapproval,remorse,6
anger,confusion,6
embarrassment,nervousness,6
anger,approval,6
excitement,pride,6
fear,surprise,6
amusement,disgust,6
joy,realization,6
admiration,disgust,6
curiosity,desire,6
approval,fear,6
annoyance,fear,6
confusion,excitement,6
approval,desire,6
disgust,realization,5
love,realization,5
disappointment,fear,5
caring,confusion,5
disappointment,optimism,5
gratitude,remorse,5
desire,disappointment,5
anger,realization,5
curiosity,remorse,5
fear,gratitude,5
optimism,remorse,5
fear,optimism,5
disappointment,surprise,5
admiration,remorse,5
confusion,remorse,5
realization,remorse,5
gratitude,sadness,5
curiosity,disgust,5
curiosity,disapproval,5
disgust,optimism,5
amusement,caring,5
disapproval,embarrassment,4
joy,relief,4
annoyance,nervousness,4
disappointment,gratitude,4
disgust,remorse,4
disapproval,relief,4
anger,desire,4
disappointment,love,4
disappointment,nervousness,4
anger,gratitude,4
disapproval,love,4
disapproval,joy,4
caring,curiosity,4
annoyance,love,4
disgust,fear,4
admiration,relief,4
amusement,embarrassment,4
confusion,sadness,4
approval,relief,4
confusion,optimism,4
excitement,realization,4
amusement,nervousness,4
admiration,fear,4
annoyance,excitement,4
amusement,surprise,4
curiosity,nervousness,4
caring,excitement,4
confusion,embarrassment,4
gratitude,relief,4
disapproval,surprise,4
anger,caring,3
caring,disapproval,3
embarrassment,fear,3
caring,fear,3
fear,love,3
fear,remorse,3
caring,nervousness,3
amusement,relief,3
caring,disgust,3
gratitude,nervousness,3
disgust,surprise,3
fear,realization,3
amusement,desire,3
annoyance,desire,3
excitement,relief,3
joy,sadness,3
desire,excitement,3
anger,remorse,3
approval,remorse,3
nervousness,realization,3
love,sadness,3
love,relief,3
confusion,fear,3
love,pride,3
confusion,desire,3
anger,excitement,3
disapproval,excitement,3
caring,surprise,3
admiration,anger,3
annoyance,caring,3
admiration,nervousness,3
fear,joy,2
realization,relief,2
amusement,fear,2
admiration,embarrassment,2
admiration,grief,2
grief,nervousness,2
nervousness,surprise,2
approval,disgust,2
amusement,disapproval,2
grief,love,2
amusement,disappointment,2
love,remorse,2
joy,remorse,2
amusement,anger,2
grief,surprise,2
grief,realization,2
nervousness,relief,2
sadness,surprise,2
excitement,sadness,2
confusion,joy,2
desire,disgust,2
disgust,love,2
desire,disapproval,2
desire,sadness,2
embarrassment,gratitude,2
desire,joy,2
disapproval,fear,2
caring,pride,2
annoyance,relief,2
curiosity,fear,2
embarrassment,surprise,2
disappointment,joy,2
disappointment,grief,2
amusement,remorse,2
excitement,grief,2
amusement,pride,2
confusion,disgust,2
anger,optimism,1
desire,nervousness,1
nervousness,optimism,1
desire,pride,1
desire,grief,1
amusement,grief,1
curiosity,relief,1
nervousness,remorse,1
anger,relief,1
curiosity,pride,1
confusion,grief,1
curiosity,grief,1
pride,remorse,1
pride,surprise,1
confusion,love,1
confusion,pride,1
approval,embarrassment,1
remorse,surprise,1
desire,remorse,1
caring,desire,1
